date,y_true_next,y_pred_static,y_pred_adaptive,p1_static,p1_adaptive,logloss_static,logloss_adaptive,brier_static,brier_adaptive,return_next,feature_score,prediction_score,performance_score,drift_index,action,drift_feature,retrained_today,ensemble_size,pos_long_static,pos_long_adaptive,pos_ls_static,pos_ls_adaptive
2018-07-09,1,1,0,0.5333333333333333,0.4866666666666667,0.6286086594223742,0.7201758529478646,0.2177777777777778,0.2635111111111111,0.003473267180873929,2.88200363557696,0.0017211074947761943,0.16851686973878732,1.203872847400853,none,Ret_Vol_20,0,1,0.06666666666666665,0.0,0.06666666666666665,-0.026666666666666616
2018-07-10,0,1,0,0.5266666666666666,0.47,0.7479554170549402,0.6348782724359695,0.2773777777777777,0.22089999999999999,-0.007094202866256172,2.869821400801081,0.0029725412412027787,0.1416519160385572,1.1913158975043605,none,Ret_Vol_20,0,1,0.05333333333333323,0.0,0.05333333333333323,-0.06000000000000005
2018-07-11,1,1,0,0.5433333333333333,0.49666666666666665,0.6100322738494387,0.699836168710742,0.20854444444444445,0.25334444444444454,0.008749042674663476,2.8590119525768776,0.00381912389542369,0.17430300967387924,1.197041421101542,none,Ret_Vol_20,0,1,0.08666666666666667,0.0,0.08666666666666667,-0.00666666666666671
2018-07-12,1,1,0,0.5266666666666666,0.43333333333333335,0.6411874416292344,0.8362480242006186,0.2240444444444445,0.32111111111111107,0.0010792374947172778,2.8407326087857894,0.004736751574552082,0.32223309015842805,1.2343839960342098,none,Ret_Vol_20,0,1,0.05333333333333323,0.0,0.05333333333333323,-0.1333333333333333
2018-07-13,0,0,1,0.41333333333333333,0.53,0.5332984796180493,0.7550225842780328,0.17084444444444444,0.28090000000000004,-0.001028135726814483,2.824569018934791,0.005584267725216021,0.38152610399128406,1.2459607190888664,none,Ret_Vol_20,0,1,0.0,0.06000000000000005,-0.17333333333333334,0.06000000000000005
2018-07-16,1,0,1,0.44,0.5166666666666667,0.8209805520698302,0.6603573577369544,0.31360000000000005,0.23361111111111105,0.00397369863071062,2.8103273638915796,0.00502288413471459,0.34969111255388385,1.2305451445632116,none,Ret_Vol_20,0,1,0.0,0.03333333333333344,-0.12,0.03333333333333344
2018-07-17,1,0,0,0.43666666666666665,0.47333333333333333,0.8285851514550495,0.7479554170549403,0.3173444444444445,0.2773777777777777,0.0021605126279586884,2.7978560396131233,0.0066897560237551505,0.4003848106271436,1.241264785840519,none,Ret_Vol_20,0,1,0.0,0.0,-0.1266666666666667,-0.053333333333333344
2018-07-18,0,0,0,0.39,0.4533333333333333,0.4942963218147801,0.6039160468320027,0.1521,0.2055111111111111,-0.003952993120479142,2.7899661701342087,0.0066897560237551505,0.31481794448993894,1.2124387782077917,none,Ret_Vol_20,0,1,0.0,0.0,-0.21999999999999997,-0.09333333333333338
2018-07-19,0,0,1,0.38666666666666666,0.5633333333333334,0.4888467170472155,0.8285851514550495,0.1495111111111111,0.3173444444444445,-0.0009484477101494582,2.7795907917271814,0.007192807502302471,0.4432200107845624,1.2469601621769322,none,Ret_Vol_20,0,1,0.0,0.1266666666666667,-0.22666666666666668,0.1266666666666667
2018-07-20,1,0,1,0.42,0.5366666666666666,0.8675005677047231,0.6223781096717381,0.3364000000000001,0.21467777777777783,0.0018380494891383492,2.7734765803042647,0.00764798113146401,0.37097253354506643,1.222976786524665,none,Ret_Vol_20,0,1,0.0,0.07333333333333325,-0.16000000000000003,0.07333333333333325
2018-07-23,1,0,0,0.36,0.4,1.0216512475319814,0.916290731874155,0.4096,0.36,0.004780911145920941,2.768652507337818,0.007212725787848241,0.577860002177126,1.2829828213246195,none,Ret_Vol_20,0,1,0.0,0.0,-0.28,-0.19999999999999996
2018-07-24,1,0,0,0.3933333333333333,0.44666666666666666,0.9330978501905364,0.8059426747052897,0.36804444444444445,0.30617777777777777,0.009101605057599604,2.749374941846306,0.00804102293286975,0.6683657004238706,1.3026719937455444,none,Ret_Vol_20,0,1,0.0,0.0,-0.21333333333333337,-0.10666666666666669
2018-07-25,0,0,0,0.44333333333333336,0.47,0.585788662239446,0.6348782724359695,0.19654444444444447,0.22089999999999999,-0.0030322960242857855,2.7329880659756722,0.009953125011621,0.5925457436967406,1.2739448870027772,none,Ret_Vol_20,0,1,0.0,0.0,-0.11333333333333329,-0.06000000000000005
2018-07-26,0,0,1,0.3933333333333333,0.5933333333333334,0.49977578757940566,0.8997614299229446,0.1547111111111111,0.3520444444444445,-0.00656220869212365,2.639692117024665,0.010720198097844472,0.7711054333032611,1.2904245362301976,none,Ret_Vol_20,0,1,0.0,0.18666666666666676,-0.21333333333333337,0.18666666666666676
2018-07-27,0,1,0,0.5133333333333333,0.46,0.7201758529478646,0.616186139423817,0.2635111111111111,0.2116,-0.005754170294581917,2.6264664477922595,0.013112123801699953,0.6716169692997385,1.2560053070473354,none,Ret_Vol_20,0,1,0.026666666666666616,0.0,0.026666666666666616,-0.07999999999999996
2018-07-30,1,0,0,0.49333333333333335,0.44666666666666666,0.706570200892086,0.8059426747052897,0.25671111111111106,0.30617777777777777,0.004884728797982518,2.615607452955488,0.01466921405168135,0.7573716370137911,1.277855236501837,none,Ret_Vol_20,0,1,0.0,0.0,-0.013333333333333308,-0.10666666666666669
2018-07-31,0,0,0,0.44666666666666666,0.44333333333333336,0.5917946862996578,0.585788662239446,0.1995111111111111,0.19654444444444447,-0.0010403515262938923,2.606943513553604,0.016807404777708077,0.6293722610597043,1.2366313051726652,none,Ret_Vol_20,0,1,0.0,0.0,-0.10666666666666669,-0.11333333333333329
2018-08-01,1,0,1,0.4666666666666667,0.5,0.7621400520468967,0.6931471805599453,0.28444444444444444,0.25,0.004926444803381669,2.6003488791783846,0.03273856563658587,0.6096696242276436,1.2328620086306228,none,Ret_Vol_20,0,1,0.0,0.0,-0.06666666666666665,0.0
2018-08-02,1,0,0,0.42333333333333334,0.35333333333333333,0.8595953881976097,1.040343380544134,0.3325444444444444,0.41817777777777787,0.004644183009877123,2.6134057485840656,0.04123295955894914,0.92292433680794,1.334609488343693,none,Ret_Vol_20,0,1,0.0,0.0,-0.15333333333333332,-0.29333333333333333
2018-08-03,1,0,0,0.36333333333333334,0.44666666666666666,1.0124345924270572,0.8059426747052897,0.4053444444444445,0.30617777777777777,0.003538227451535869,2.567951075072005,0.04057653429096485,0.9984927599351648,1.338901218296641,none,Ret_Vol_20,0,1,0.0,0.0,-0.2733333333333333,-0.10666666666666669
2018-08-06,1,0,1,0.43,0.51,0.843970070294529,0.6733445532637656,0.3249000000000001,0.24009999999999998,0.0028241822564987196,2.5396895463801714,0.041142375682522575,0.9437442495534376,1.3113418061228568,none,Ret_Vol_20,0,1,0.0,0.020000000000000018,-0.14,0.020000000000000018
2018-08-07,0,0,0,0.41333333333333333,0.48333333333333334,0.5332984796180493,0.6603573577369546,0.17084444444444444,0.2336111111111111,-0.0002623799656497061,2.522770358778002,0.03778090952781127,0.87861376310292,1.2840265453004203,none,Ret_Vol_20,0,1,0.0,0.0,-0.17333333333333334,-0.033333333333333326
