date,action,drift_index,feature_score,prediction_score,performance_score,top_drift_feature,cooldown_blocked,retrained_today,ensemble_size
2017-05-04,high,3.682811642738519,9.153233137924728,0.008217320838665665,0.06351063772342691,Ret_Vol_20,1,0,1
2017-05-05,high,3.7361331134046134,9.153233137924728,0.0087880548342558,0.24067813928148551,Ret_Vol_20,1,0,1
2017-05-08,high,3.7165704262266246,9.153233137924728,0.008704286962813515,0.17555294989296433,Ret_Vol_20,0,1,1
2017-05-09,high,3.661383623485563,9.153233137924728,0.0003012277189060491,0.0,Ret_Vol_20,1,0,1
2017-05-10,high,3.7188229153385772,9.153233137924728,0.0039594614163798725,0.18780607247924164,Ret_Vol_20,1,0,1
2017-05-11,high,3.790030573772581,9.153233137924728,0.004299102961694353,0.42482529238060407,Ret_Vol_20,1,0,1
2017-05-12,high,3.7999086399392485,9.15117871201377,0.0043571633814220075,0.46043335373104455,Ret_Vol_20,1,0,1
2017-05-15,high,3.8451724166665335,9.149664646689088,0.004488371809599675,0.613200154826727,Ret_Vol_20,0,1,1
2017-05-16,high,3.660614722897467,9.15117871201377,0.00047746030652907065,0.0,Ret_Vol_20,1,0,1
2017-05-17,high,3.709744171023645,9.126540701754596,0.0008624558968774068,0.19623051184247892,Ret_Vol_20,1,0,1
2017-05-18,high,3.691680890894496,9.104155665819238,0.0007699847854512171,0.1659587637705487,Ret_Vol_20,1,0,1
2017-05-19,high,3.688974436220367,9.083764405655721,0.001154980375799542,0.1837405994844612,Ret_Vol_20,1,0,1
2017-05-22,high,3.742621839806493,9.065165223626515,0.0019367203928847363,0.386582447460072,Ret_Vol_20,0,1,1
2017-05-23,high,3.6263566658012336,9.065165223626515,0.0009685878354244691,0.0,Ret_Vol_20,1,0,1
2017-05-24,high,3.664487835320668,9.083764405655721,0.0014740992406463219,0.1017994776206198,Ret_Vol_20,1,0,1
2017-05-25,high,3.725657424180205,9.065165223626515,0.0019484570469106557,0.33002265871841896,Ret_Vol_20,1,0,1
2017-05-26,high,3.8036117882529012,9.048197954702465,0.0028292989609358986,0.6116127222787817,Ret_Vol_20,1,0,1
2017-05-30,high,3.9000483398143495,9.048197954702465,0.00478599145903262,0.9311112016521786,Ret_Vol_20,0,1,1
2017-05-31,high,3.6194052072639122,9.048197954702465,0.00042008460975494384,0.0,Ret_Vol_20,1,0,1
2017-06-01,high,3.667052256992781,9.048197954702465,0.0006956048769463678,0.15854797882903704,Ret_Vol_20,1,0,1
2017-06-02,high,3.6754723968944565,9.032733323525916,0.0008614747368537617,0.20706875021011162,Ret_Vol_20,1,0,1
2017-06-05,high,3.6465387843003105,9.018665614350112,0.0013323247103459116,0.12890947049053825,Ret_Vol_20,0,1,1
2017-06-06,high,3.602496535379564,9.005907481557577,0.0004451425217775148,0.0,Ret_Vol_20,1,0,1
2017-06-07,high,3.610220572624746,8.994386189043801,0.0007787232086966479,0.040774933482053854,Ret_Vol_20,1,0,1
2017-06-08,high,3.6301082281022694,8.984040830846595,0.0010638347769469777,0.12057581776849036,Ret_Vol_20,1,0,1
2017-06-09,high,3.7446473638214712,8.973782757709737,0.004821952496518751,0.5122922499620687,Ret_Vol_20,1,0,1
2017-06-12,high,3.6816385981408315,8.964576913539556,0.005242037106273676,0.314117405310423,Ret_Vol_20,0,1,1
2017-06-13,high,3.582658159060939,8.956385388052826,0.00034667946602828293,0.0,Ret_Vol_20,1,0,1
