date,rolling_logloss_static_w60,rolling_logloss_adaptive_w60
2018-06-28,0.6705920122559123,0.6877044521359909
2018-06-29,0.66816559030644,0.6802191564982257
2018-07-02,0.66639862040516,0.6869374605498574
2018-07-03,0.667065375982055,0.6906764678756582
2018-07-05,0.6656659529800993,0.6854148827310006
2018-07-06,0.666423659214712,0.6902694284073758
2018-07-09,0.6650113054071273,0.6907199062805077
2018-07-10,0.667513279012116,0.6913372608085135
2018-07-11,0.6676152161290733,0.690298862752911
2018-07-12,0.6661841946189668,0.694069125258764
2018-07-13,0.6623701684118193,0.693831025971306
2018-07-16,0.666389536025434,0.6935052827034232
2018-07-17,0.6671359294025503,0.6938537274504117
2018-07-18,0.6651044324423997,0.6903617724570377
2018-07-19,0.6637854770997543,0.6965588849396932
2018-07-20,0.6677670089044602,0.6994067026573959
2018-07-23,0.6746273251325026,0.7085741416060505
2018-07-24,0.6813850769343052,0.7028414264668776
2018-07-25,0.6805669167643631,0.7055448333774502
2018-07-26,0.6809292498749698,0.7013757641585716
2018-07-27,0.6806993611727642,0.693167822740275
2018-07-30,0.6826122864159714,0.7007347949656942
2018-07-31,0.6792900713722966,0.7025306759873017
2018-08-01,0.6826237569371858,0.6996247862015554
2018-08-02,0.6816788345425767,0.7065908740494288
2018-08-03,0.6878662870558737,0.7084707989518512
2018-08-06,0.6921693105234585,0.7085793769688711
2018-08-07,0.6888247989324227,0.70590232372999
2018-08-08,0.6873746093159289,0.7044617819671182
2018-08-09,0.6799075306071461,0.7046810833767433
2018-08-10,0.681860115476324,0.7016208715007838
2018-08-13,0.6883315616692086,0.6982887838139136
2018-08-14,0.6784988459304634,0.6955947612879733
2018-08-15,0.6794054137982267,0.6918530417741359
2018-08-16,0.6820194549897762,0.6994940024116137
2018-08-17,0.6922243730552905,0.7026710084050911
2018-08-20,0.7026154940539898,0.7055118747590673
2018-08-21,0.7005510026921101,0.6980681550823727
2018-08-22,0.6998454299616674,0.7027224454622482
2018-08-23,0.7082266515545924,0.6986929059431197
2018-08-24,0.7157877717200265,0.7058397804782057
2018-08-27,0.7174187015534225,0.7112780622878652
2018-08-28,0.7171337943307674,0.7158358728745605
2018-08-29,0.713491246370674,0.7125110502009552
2018-08-30,0.7174501178501125,0.7145684533858071
2018-08-31,0.7128416383192183,0.7128339640542369
2018-09-04,0.7052572708317594,0.7141166480731724
2018-09-05,0.6947208294855883,0.7140044142034833
2018-09-06,0.6976152210531024,0.7171670231248412
2018-09-07,0.7015625943143087,0.7214922097162593
2018-09-10,0.7096985413801967,0.7230437167673595
2018-09-11,0.7142936394036145,0.7245172327230937
2018-09-12,0.7196598251691213,0.7253721209628863
2018-09-13,0.7233493596968852,0.7258517703720536
2018-09-14,0.7242408377794016,0.722047459505704
2018-09-17,0.7268281810825897,0.7268732262705347
2018-09-18,0.7353419414786895,0.7239243811345502
2018-09-19,0.7437270011065577,0.7260504015618505
2018-09-20,0.7388711377508785,0.7228778394203302
2018-09-21,0.7378141073102535,0.7290705653608716
2018-09-24,0.7307279376571286,0.7297798922678516
2018-09-25,0.7271601000719863,0.734161007323386
2018-09-26,0.7352518970016814,0.734161007323386
2018-09-27,0.7300373583136757,0.7336693295834409
2018-09-28,0.7354009429606965,0.7373653843975283
2018-10-01,0.7280094012324063,0.7332435574448385
2018-10-02,0.7361795068417939,0.7350503790866248
2018-10-03,0.7312387340010378,0.7374112210376753
2018-10-04,0.7312387340010378,0.7390557464961258
2018-10-05,0.7317746858616133,0.7408117550904229
2018-10-08,0.7326495222386367,0.738395249916613
2018-10-09,0.7296529703979602,0.7399730036922976
2018-10-10,0.7301698076770028,0.7361136912216394
2018-10-11,0.732512840187356,0.7368407015962375
2018-10-12,0.7371872039286609,0.7334039175665156
2018-10-15,0.7340605603637476,0.7337174064324739
2018-10-16,0.7293820036448193,0.7284098442471649
2018-10-17,0.7258333036907748,0.72721028592008
2018-10-18,0.7290123058117673,0.7282929175246594
2018-10-19,0.7350092991554041,0.7248493467019428
2018-10-22,0.7353553323462113,0.7283893302357967
2018-10-23,0.737262171532507,0.7321395129939468
2018-10-24,0.737875737751219,0.7291341204250922
2018-10-25,0.7393692737293804,0.7346091882079595
2018-10-26,0.7397676990769396,0.740375037884222
2018-10-29,0.7314075495992552,0.7309418377996436
2018-10-30,0.7272046265326739,0.7295826733502417
2018-10-31,0.7279799601265889,0.7277515653905995
2018-11-01,0.7293222745013225,0.7332325318345324
2018-11-02,0.7314949714657099,0.7292289395809847
2018-11-05,0.7314010745037388,0.7297754366280346
2018-11-06,0.7283016653691979,0.7310536469745055
2018-11-07,0.7320433848830353,0.7324361316908514
2018-11-08,0.734019380461778,0.7347654973971041
2018-11-09,0.7279027333404385,0.725487229433236
2018-11-12,0.7198483196039864,0.7165456732579932
2018-11-13,0.7137442463547383,0.7092557040044736
2018-11-14,0.7167506078876738,0.7109520822429727
2018-11-15,0.7199803743324179,0.7059627722077458
2018-11-16,0.712003212932993,0.707120645087992
2018-11-19,0.7068648569387509,0.7096679651584827
2018-11-20,0.6989537628995584,0.7055085799193466
2018-11-21,0.6947338312932149,0.704340787209068
2018-11-23,0.695898325959223,0.7045190420276805
2018-11-26,0.6934329904579459,0.7006305308831863
2018-11-27,0.6962854613945431,0.7009237935813591
2018-11-28,0.699982134190672,0.701837264189609
2018-11-29,0.7017911370002587,0.7037305504850042
2018-11-30,0.7027776181900977,0.7023011034557138
2018-12-03,0.6995247898689009,0.6982641084827967
2018-12-04,0.6959210713944068,0.6938809508184399
2018-12-06,0.6938116926725997,0.6902461378075635
2018-12-07,0.6904319821948447,0.683868630635197
2018-12-10,0.6872220970762482,0.689623129757276
2018-12-11,0.6886556449872488,0.6855229734897558
2018-12-12,0.687788038954648,0.688363839843732
2018-12-13,0.6797247564316802,0.6913126849797167
2018-12-14,0.6746519399110669,0.7012457421814883
2018-12-17,0.6761855882230711,0.6937632385140232
2018-12-18,0.6820373198712257,0.7005209903158259
2018-12-19,0.6900177014158894,0.7146124554015253
2018-12-20,0.6975756068707981,0.7246061407773439
2018-12-21,0.6939852484504598,0.7270184548714258
2018-12-24,0.6985330315615705,0.7242565965009535
2018-12-26,0.6912686551400282,0.72028656291448
2018-12-27,0.6975361755217261,0.7322178201084384
2018-12-28,0.6895757162824528,0.7244322046290441
2018-12-31,0.6919138102772876,0.7177551632351712
2019-01-02,0.6962049485082089,0.7189050444266204
2019-01-03,0.6949464892997398,0.7071402743209975
2019-01-04,0.6945519935649748,0.708086900960883
2019-01-07,0.692848811216699,0.7071671273680948
2019-01-08,0.6886894259775628,0.7097829254422335
2019-01-09,0.6884810899314923,0.7125478700610094
2019-01-10,0.6890916588178219,0.7156072794782353
2019-01-11,0.6902258832052388,0.718353200029503
2019-01-14,0.6895408552771463,0.7192880244736871
2019-01-15,0.6893140944095499,0.7197575390897987
2019-01-16,0.6890742821186816,0.7190995589069024
2019-01-17,0.6857536482776706,0.7186609371016127
2019-01-18,0.683881495194772,0.71662735459223
2019-01-22,0.6817509390029407,0.7077743903819818
2019-01-23,0.6854699981915109,0.7180441593723788
2019-01-24,0.6879958298269642,0.7164276216059235
2019-01-25,0.6814182599602318,0.7050988856021269
2019-01-28,0.6806050905574079,0.713802041975732
2019-01-29,0.6858750446034046,0.7176218064052349
2019-01-30,0.6876531136465436,0.7198886690332825
2019-01-31,0.6887646365548546,0.7108808300274326
2019-02-01,0.6929381478490971,0.71857591046795
2019-02-04,0.694507934766759,0.7192562770432875
2019-02-05,0.6960964377634977,0.7134085941420657
2019-02-06,0.6929072550382753,0.7146229499464802
2019-02-07,0.694624458803246,0.7098543107718869
2019-02-08,0.6993828886870657,0.7123748269339523
2019-02-11,0.7048912565143108,0.7191325787357549
2019-02-12,0.7080638186558311,0.722851637924325
2019-02-13,0.706404992066714,0.7234577653271729
2019-02-14,0.7143013979348081,0.7266463839888818
2019-02-15,0.7154658926008162,0.7257137397614143
2019-02-19,0.7160426514204408,0.7214235396255972
2019-02-20,0.7150094568199746,0.7212202850740336
2019-02-21,0.7195142956489733,0.7203653968342411
2019-02-22,0.7216149743305628,0.7254614926323256
2019-02-25,0.7191054266892397,0.7270789224514834
2019-02-26,0.7145626194452108,0.7287366023436608
2019-02-27,0.709573309409984,0.7264378832902358
2019-02-28,0.7129769017671289,0.7212102573093183
2019-03-01,0.7093393423334619,0.7216732500444363
2019-03-04,0.7056439405891288,0.7264679512519661
2019-03-05,0.7012001295348964,0.7278803050595509
2019-03-06,0.701434875199592,0.7311001588767319
2019-03-07,0.7040568794427343,0.7411030042784292
2019-03-08,0.703459443913182,0.7337268566399036
2019-03-11,0.7067596586896592,0.7368366225662438
2019-03-12,0.7096540502571732,0.7335055247921627
2019-03-13,0.7065394273683429,0.7302222202719979
2019-03-14,0.7050695488344185,0.719952451281601
2019-03-15,0.7070954688607153,0.727885432822198
2019-03-18,0.6998168413338441,0.7165426261829799
2019-03-19,0.6926699667987583,0.7040668601838177
2019-03-20,0.6966645143531819,0.6965337747881001
2019-03-21,0.6920647471417053,0.6880473592162911
2019-03-22,0.6920647471417053,0.6891503909976462
2019-03-25,0.6962390698410582,0.6949404127835362
2019-03-26,0.6921852313430424,0.6823662843431406
2019-03-27,0.6944409204742051,0.6914753461159417
2019-03-28,0.7005585148074266,0.6999352561690174
2019-03-29,0.7026710432347457,0.6957466823643357
2019-04-01,0.7034993710439502,0.7070894890035538
2019-04-02,0.7059068924229259,0.7101715279784541
2019-04-03,0.7088127822086723,0.714344129892439
2019-04-04,0.7118310374598507,0.7171878885096185
2019-04-05,0.7141604031661033,0.7193241417333518
2019-04-08,0.7084286162476244,0.715555405409146
2019-04-09,0.7084286162476244,0.7136754805067235
2019-04-10,0.71217566312819,0.715598515075371
2019-04-11,0.712983202851289,0.7143378915052774
2019-04-12,0.7081587662805344,0.7141242133647929
2019-04-15,0.7109625628425026,0.7178703508154798
2019-04-16,0.7080983918937249,0.7131886443910397
2019-04-17,0.7070227498747654,0.7193173907264617
2019-04-18,0.7106444378029318,0.7158470923748362
2019-04-22,0.7122329407996706,0.7125535882196854
2019-04-23,0.7133569621462628,0.7100488848355297
2019-04-24,0.7132690111945821,0.7029766582953206
2019-04-25,0.7153183730468293,0.7097344100971235
2019-04-26,0.7212157187585436,0.7179925977598882
2019-04-29,0.7259721497617342,0.7280662488424093
2019-04-30,0.7200954561192159,0.7193607580382847
2019-05-01,0.7208316430911015,0.7150952018026647
2019-05-02,0.723870335704334,0.7232722504101392
2019-05-03,0.7251343036441924,0.7222390558096732
2019-05-06,0.7190353991550001,0.7283070540087616
2019-05-07,0.7172504302290608,0.7249316496069037
2019-05-08,0.7119428680437517,0.716243367546349
2019-05-09,0.7081166273496767,0.7184010020002971
2019-05-10,0.7111904446685687,0.7169251120446064
2019-05-13,0.7018875822625155,0.727502628275912
2019-05-14,0.7024450478303078,0.7295509305479647
2019-05-15,0.7008778986695032,0.7296695550107791
2019-05-16,0.7030125951337858,0.7280352014578422
2019-05-17,0.6998783912754034,0.7223425130223641
2019-05-20,0.6969228243540215,0.7255523981409606
2019-05-21,0.700287260235137,0.7255523981409606
2019-05-22,0.7063409736169679,0.7240931332905552
2019-05-23,0.7079046195372621,0.7299067678312804
2019-05-24,0.7070172109619486,0.7353869238958745
2019-05-28,0.7167159033861105,0.7324857296071776
2019-05-29,0.7177915454050701,0.7324857296071776
2019-05-30,0.7222353564593025,0.7291103252053197
2019-05-31,0.7249231589192379,0.7270564478649206
2019-06-03,0.7195819606646584,0.720041091759173
2019-06-04,0.7184477362772415,0.7284814305974742
2019-06-05,0.7176171967147769,0.7349217124830987
2019-06-06,0.7131123578857783,0.7376730416557561
2019-06-07,0.7144938188825412,0.7402974988633103
2019-06-10,0.717838330473577,0.7395373236757761
2019-06-11,0.7202757554789128,0.7355915036196097
2019-06-12,0.7242098714147481,0.7365689824043015
2019-06-13,0.7272999251369375,0.7356941460272781
2019-06-14,0.7237203367762093,0.7336750729712933
2019-06-17,0.7293871349671014,0.7387179177203856
2019-06-18,0.7312280848931731,0.7433380972634603
2019-06-19,0.732286641655212,0.7482184884626636
2019-06-20,0.7336681026519748,0.7457137850785078
2019-06-21,0.7333096658982919,0.7380187046379905
2019-06-24,0.7292179915913672,0.730645227582993
2019-06-25,0.7255892668606194,0.7288892189886959
2019-06-26,0.7283542114793954,0.7282088524133582
2019-06-27,0.7340750768728385,0.7304343756237669
2019-06-28,0.7353713718902166,0.7305786766694854
2019-07-01,0.7361233791448911,0.7324933479361256
2019-07-02,0.7382810135988394,0.7327807113767008
2019-07-03,0.7418028318266262,0.7340158442459294
2019-07-05,0.7403428641713264,0.7339051018672849
2019-07-08,0.7371647007302519,0.7327472289870387
2019-07-09,0.7389075807955782,0.7353716861945929
2019-07-10,0.7467231588298586,0.7425595693956601
2019-07-11,0.7508935673284732,0.7455171588480399
2019-07-12,0.7609374535454585,0.7556052559275168
2019-07-15,0.7588820666115919,0.7492040239587361
2019-07-16,0.7495782689005821,0.744253412665086
2019-07-17,0.7421668385462248,0.7481167728993747
2019-07-18,0.7433721829058851,0.7481167728993748
2019-07-19,0.7452259434910555,0.7601431914973829
